Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
9.5,Regular,Fruits and Vegetables,171.3448,Medium,Tier 1,Supermarket Type1,2386.2272,24
17.6,Regular,Meat,111.7202,Small,Tier 1,Supermarket Type1,1125.202,26
12.85,Low Fat,Snack Foods,155.563,Small,Tier 1,Supermarket Type1,4224.501,26
13.85,Low Fat,Others,41.048,Small,Tier 1,Supermarket Type1,639.168,26
7.825,Low Fat,Meat,62.7826,Medium,Tier 3,Supermarket Type2,1162.4868,14
19.25,Low Fat,Household,35.5558,High,Tier 3,Supermarket Type1,305.6022,36
6.11,Regular,Soft Drinks,43.0086,Medium,Tier 1,Supermarket Type1,713.7376,24
16.35,Low Fat,Household,257.6646,Small,Tier 1,Supermarket Type1,2061.3168,26
15.75,Low Fat,Hard Drinks,252.7382,High,Tier 3,Supermarket Type1,3280.3966,36
17.7,Regular,Fruits and Vegetables,80.9276,Medium,Tier 3,Supermarket Type2,487.3656,14
17.25,Regular,Snack Foods,97.0068,Small,Tier 1,Supermarket Type1,1846.9292,26
8.02,Low Fat,Household,157.7972,High,Tier 3,Supermarket Type1,1713.7692,36
5.11,Low Fat,Household,161.721,Small,Tier 1,Supermarket Type1,2446.815,26
15.1,Low Fat,Household,139.7496,High,Tier 3,Supermarket Type1,3952.1888,36
10.0,Regular,Frozen Foods,231.7668,High,Tier 3,Supermarket Type1,460.7336,36
16.6,Low Fat,Fruits and Vegetables,173.5738,Small,Tier 2,Supermarket Type1,1911.5118,19
14.6,Regular,Fruits and Vegetables,109.7254,Medium,Tier 3,Supermarket Type2,651.1524,14
14.8,Low Fat,Health and Hygiene,193.0794,Small,Tier 2,Supermarket Type1,3901.588,19
20.85,Low Fat,Snack Foods,197.5452,Small,Tier 2,Supermarket Type1,4306.3944,19
16.0,Regular,Frozen Foods,88.9856,High,Tier 3,Supermarket Type1,1669.8264,36
12.3,Low Fat,Baking Goods,37.2874,High,Tier 3,Supermarket Type1,705.748,36
7.81,Regular,Canned,123.1046,Small,Tier 1,Supermarket Type1,871.5322,26
8.38,Regular,Baking Goods,111.857,Medium,Tier 1,Supermarket Type1,2966.139,24
14.0,Low Fat,Health and Hygiene,129.531,Medium,Tier 3,Supermarket Type2,2077.296,14
15.5,Regular,Frozen Foods,50.9692,Medium,Tier 3,Supermarket Type2,394.1536,14
7.85,Low Fat,Hard Drinks,145.2444,Small,Tier 1,Supermarket Type1,1451.444,26
13.15,Low Fat,Breads,83.5566,Small,Tier 1,Supermarket Type1,1268.349,26
15.7,Low Fat,Household,59.4562,Small,Tier 1,Supermarket Type1,829.5868,26
14.65,Regular,Snack Foods,52.8666,Small,Tier 2,Supermarket Type1,461.3994,19
20.25,Regular,Baking Goods,240.8538,Small,Tier 2,Supermarket Type1,7931.6754,19
7.825,Regular,Frozen Foods,159.0288,High,Tier 3,Supermarket Type1,1257.0304,36
12.5,Low Fat,Fruits and Vegetables,103.899,Medium,Tier 1,Supermarket Type1,1960.781,24
9.6,Regular,Snack Foods,257.8304,Small,Tier 1,Supermarket Type1,1808.3128,26
20.25,Low Fat,Household,145.6418,High,Tier 3,Supermarket Type1,3384.2614,36
9.0,Low Fat,Snack Foods,168.0816,Medium,Tier 3,Supermarket Type2,2181.1608,14
20.5,Regular,Fruits and Vegetables,193.9478,High,Tier 3,Supermarket Type1,4456.1994,36
15.0,Regular,Baking Goods,220.9456,Medium,Tier 3,Supermarket Type2,1768.3648,14
5.175,Low Fat,Canned,83.4224,Medium,Tier 1,Supermarket Type1,1448.7808,24
6.13,Low Fat,Dairy,59.3536,Medium,Tier 1,Supermarket Type1,1470.0864,24
10.8,Low Fat,Hard Drinks,72.338,Medium,Tier 1,Supermarket Type1,805.618,24
17.6,Regular,Snack Foods,98.041,Medium,Tier 3,Supermarket Type2,675.787,14
7.935,Low Fat,Dairy,50.035,High,Tier 3,Supermarket Type1,149.805,36
13.6,Low Fat,Household,177.937,Medium,Tier 3,Supermarket Type2,2293.681,14
8.26,Regular,Soft Drinks,124.873,Small,Tier 2,Supermarket Type1,2956.152,19
20.75,Low Fat,Snack Foods,161.5578,Medium,Tier 1,Supermarket Type1,320.9156,24
10.195,Low Fat,Snack Foods,42.5428,Medium,Tier 3,Supermarket Type2,878.856,14
11.65,Low Fat,Dairy,52.9298,Small,Tier 1,Supermarket Type1,647.1576,26
13.1,Regular,Frozen Foods,196.3768,Small,Tier 2,Supermarket Type1,2167.8448,19
16.75,Low Fat,Dairy,169.8106,High,Tier 3,Supermarket Type1,3251.1014,36
6.675,Low Fat,Snack Foods,92.9462,Medium,Tier 3,Supermarket Type2,1018.0082,14
16.25,Low Fat,Canned,90.2804,Medium,Tier 3,Supermarket Type2,1653.8472,14
20.0,Regular,Canned,105.3622,Medium,Tier 1,Supermarket Type1,1270.3464,24
15.6,Low Fat,Snack Foods,221.5798,High,Tier 3,Supermarket Type1,5509.495,36
20.25,Regular,Fruits and Vegetables,222.0772,High,Tier 3,Supermarket Type1,3113.2808,36
7.365,Low Fat,Fruits and Vegetables,225.172,Small,Tier 2,Supermarket Type1,3395.58,19
15.1,Regular,Frozen Foods,130.531,Medium,Tier 1,Supermarket Type1,908.817,24
20.2,Regular,Snack Foods,94.9752,Medium,Tier 1,Supermarket Type1,1342.2528,24
10.695,Regular,Dairy,121.144,Small,Tier 1,Supermarket Type1,1917.504,26
12.35,Low Fat,Household,117.0124,Small,Tier 1,Supermarket Type1,1540.6612,26
11.35,Low Fat,Snack Foods,52.4008,Small,Tier 2,Supermarket Type1,809.6128,19
7.05,Low Fat,Snack Foods,111.1912,Small,Tier 1,Supermarket Type1,1965.4416,26
6.78,Low Fat,Fruits and Vegetables,184.624,Small,Tier 2,Supermarket Type1,5406.296,19
9.1,Low Fat,Household,112.5518,Medium,Tier 1,Supermarket Type1,341.5554,24
14.15,Low Fat,Soft Drinks,40.5138,Small,Tier 1,Supermarket Type1,446.7518,26
20.7,Low Fat,Dairy,76.367,High,Tier 3,Supermarket Type1,306.268,36
5.155,Low Fat,Frozen Foods,246.0776,Small,Tier 1,Supermarket Type1,990.7104,26
15.35,Low Fat,Soft Drinks,196.5768,Small,Tier 2,Supermarket Type1,4729.8432,19
9.8,Regular,Meat,250.1408,Small,Tier 2,Supermarket Type1,4005.4528,19
10.695,Low Fat,Household,36.7848,Small,Tier 2,Supermarket Type1,782.9808,19
6.65,Low Fat,Canned,149.5734,Medium,Tier 1,Supermarket Type1,2524.0478,24
5.26,Regular,Baking Goods,161.8868,Medium,Tier 1,Supermarket Type1,5077.3908,24
15.25,Low Fat,Household,130.9968,Medium,Tier 3,Supermarket Type2,2348.9424,14
11.8,Regular,Meat,151.4366,High,Tier 3,Supermarket Type1,1360.2294,36
9.1,Low Fat,Baking Goods,126.5362,High,Tier 3,Supermarket Type1,1761.7068,36
15.2,Low Fat,Snack Foods,238.2248,Medium,Tier 1,Supermarket Type1,3555.372,24
5.82,Low Fat,Household,167.779,Small,Tier 1,Supermarket Type1,2886.243,26
8.39,Low Fat,Household,165.5868,Small,Tier 2,Supermarket Type1,1965.4416,19
8.575,Regular,Dairy,195.3794,Medium,Tier 1,Supermarket Type1,3511.4292,24
16.2,Low Fat,Fruits and Vegetables,260.3278,Medium,Tier 3,Supermarket Type2,2342.9502,14
20.2,Low Fat,Household,187.1898,High,Tier 3,Supermarket Type1,2993.4368,36
7.75,Low Fat,Baking Goods,92.5436,Small,Tier 1,Supermarket Type1,1701.7848,26
5.325,Regular,Dairy,55.8298,Small,Tier 2,Supermarket Type1,485.3682,19
18.6,Low Fat,Others,58.7588,Medium,Tier 3,Supermarket Type2,858.882,14
15.0,Low Fat,Snack Foods,44.0744,High,Tier 3,Supermarket Type1,633.8416,36
14.15,Low Fat,Household,197.111,Medium,Tier 1,Supermarket Type1,3731.809,24
6.17,Low Fat,Meat,65.9826,Small,Tier 1,Supermarket Type1,1162.4868,26
9.065,Low Fat,Frozen Foods,94.4094,High,Tier 3,Supermarket Type1,2856.282,36
20.2,Low Fat,Household,93.2462,High,Tier 3,Supermarket Type1,1018.0082,36
4.59,Low Fat,Soft Drinks,114.586,Small,Tier 1,Supermarket Type1,1245.046,26
13.65,Regular,Meat,37.9532,Medium,Tier 1,Supermarket Type1,862.8768,24
17.35,Regular,Seafood,147.905,Medium,Tier 1,Supermarket Type1,2247.075,24
12.5,Low Fat,Breads,198.8742,Small,Tier 1,Supermarket Type1,5773.1518,26
6.095,Low Fat,Others,140.3154,Medium,Tier 3,Supermarket Type2,1843.6002,14
6.76,Regular,Fruits and Vegetables,79.596,Small,Tier 1,Supermarket Type1,1438.128,26
13.5,Regular,Fruits and Vegetables,145.3102,High,Tier 3,Supermarket Type1,729.051,36
14.65,Low Fat,Household,163.4552,Medium,Tier 3,Supermarket Type2,2599.2832,14
16.35,Low Fat,Household,198.211,Small,Tier 1,Supermarket Type1,1964.11,26
13.8,Regular,Snack Foods,230.9984,High,Tier 3,Supermarket Type1,4633.968,36
20.85,Low Fat,Fruits and Vegetables,103.2306,Medium,Tier 1,Supermarket Type1,2404.2038,24
20.25,Regular,Canned,94.312,Small,Tier 2,Supermarket Type1,2982.784,19
20.75,Low Fat,Health and Hygiene,150.4734,Medium,Tier 1,Supermarket Type1,1187.7872,24
16.2,Regular,Frozen Foods,97.4726,Small,Tier 2,Supermarket Type1,1174.4712,19
10.695,Regular,Snack Foods,156.7972,Small,Tier 2,Supermarket Type1,3427.5384,19
6.92,Low Fat,Dairy,61.5852,Small,Tier 1,Supermarket Type1,813.6076,26
9.3,Regular,Meat,156.6314,Medium,Tier 1,Supermarket Type1,1241.0512,24
17.85,Low Fat,Soft Drinks,153.4998,Medium,Tier 3,Supermarket Type2,2922.1962,14
11.3,Regular,Meat,93.3094,Medium,Tier 1,Supermarket Type1,3046.7008,24
12.15,Low Fat,Frozen Foods,253.1698,Medium,Tier 3,Supermarket Type2,1522.0188,14
7.81,Regular,Canned,122.6046,Medium,Tier 3,Supermarket Type2,2365.5874,14
18.5,Regular,Dairy,144.2102,Small,Tier 2,Supermarket Type1,2041.3428,19
5.88,Low Fat,Hard Drinks,154.1998,Medium,Tier 3,Supermarket Type2,1384.1982,14
6.55,Low Fat,Breads,100.6332,Small,Tier 2,Supermarket Type1,2665.8632,19
6.305,Regular,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,661.8052,26
5.03,Low Fat,Household,122.6756,Small,Tier 2,Supermarket Type1,2665.8632,19
19.0,Regular,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,992.7078,26
18.0,Low Fat,Snack Foods,148.6418,High,Tier 3,Supermarket Type1,2795.6942,36
16.1,Regular,Frozen Foods,127.4362,Small,Tier 1,Supermarket Type1,2265.0516,26
6.67,Regular,Snack Foods,90.2514,High,Tier 3,Supermarket Type1,974.0654,36
10.85,Low Fat,Snack Foods,106.3622,High,Tier 3,Supermarket Type1,2117.244,36
6.89,Regular,Snack Foods,192.682,Medium,Tier 3,Supermarket Type2,2703.148,14
13.15,Low Fat,Household,179.5686,Small,Tier 1,Supermarket Type1,1422.1488,26
9.8,Low Fat,Snack Foods,215.685,Medium,Tier 3,Supermarket Type2,649.155,14
13.65,Regular,Canned,99.47,Medium,Tier 3,Supermarket Type2,299.61,14
16.7,Regular,Frozen Foods,113.9176,Medium,Tier 1,Supermarket Type1,2519.3872,24
16.5,Low Fat,Health and Hygiene,39.7506,Medium,Tier 3,Supermarket Type2,227.7036,14
12.8,Low Fat,Starchy Foods,261.3252,Medium,Tier 3,Supermarket Type2,3410.2276,14
12.15,Low Fat,Breads,165.0184,Medium,Tier 1,Supermarket Type1,3302.368,24
5.5,Low Fat,Others,100.1016,High,Tier 3,Supermarket Type1,2125.2336,36
4.61,Low Fat,Hard Drinks,175.2396,Medium,Tier 3,Supermarket Type2,2093.2752,14
8.575,Low Fat,Soft Drinks,107.128,High,Tier 3,Supermarket Type1,958.752,36
18.75,Low Fat,Household,207.8954,Medium,Tier 1,Supermarket Type1,2292.3494,24
7.435,Low Fat,Starchy Foods,206.1638,Medium,Tier 3,Supermarket Type2,1656.5104,14
17.25,Regular,Fruits and Vegetables,63.4194,Small,Tier 2,Supermarket Type1,1547.985,19
20.7,Low Fat,Dairy,78.467,Small,Tier 1,Supermarket Type1,1607.907,26
16.5,Regular,Snack Foods,144.5128,Small,Tier 1,Supermarket Type1,3595.32,26
6.115,Regular,Frozen Foods,91.0488,Medium,Tier 3,Supermarket Type2,1629.8784,14
18.85,Low Fat,Hard Drinks,161.7578,Medium,Tier 1,Supermarket Type1,1604.578,24
20.35,Regular,Meat,81.6276,Small,Tier 1,Supermarket Type1,1787.0072,26
7.945,Low Fat,Snack Foods,161.821,High,Tier 3,Supermarket Type1,2446.815,36
13.65,Low Fat,Frozen Foods,47.7402,High,Tier 3,Supermarket Type1,643.1628,36
6.8,Low Fat,Baking Goods,49.9034,Small,Tier 1,Supermarket Type1,194.4136,26
20.35,Low Fat,Household,127.9678,Medium,Tier 3,Supermarket Type2,3560.6984,14
10.5,Low Fat,Household,235.8248,Small,Tier 2,Supermarket Type1,4266.4464,19
13.0,Low Fat,Household,256.1014,High,Tier 3,Supermarket Type1,2550.014,36
7.905,Low Fat,Snack Foods,250.7408,High,Tier 3,Supermarket Type1,5757.8384,36
18.0,Low Fat,Starchy Foods,178.3686,Medium,Tier 3,Supermarket Type2,3199.8348,14
13.15,Low Fat,Breads,86.3566,High,Tier 3,Supermarket Type1,1099.2358,36
8.05,Regular,Fruits and Vegetables,257.5646,High,Tier 3,Supermarket Type1,5153.292,36
14.15,Regular,Fruits and Vegetables,195.111,Medium,Tier 3,Supermarket Type2,982.055,14
8.1,Regular,Canned,39.448,Medium,Tier 1,Supermarket Type1,878.856,24
5.465,Regular,Baking Goods,131.2626,High,Tier 3,Supermarket Type1,3410.2276,36
16.7,Regular,Snack Foods,143.9102,Small,Tier 1,Supermarket Type1,1749.7224,26
11.15,Regular,Snack Foods,170.579,Medium,Tier 3,Supermarket Type2,1358.232,14
6.11,Regular,Soft Drinks,46.6086,Small,Tier 2,Supermarket Type1,624.5204,19
16.35,Low Fat,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,1977.426,36
20.35,Low Fat,Snack Foods,116.8466,Small,Tier 1,Supermarket Type1,2356.932,26
19.2,Low Fat,Others,243.0196,Medium,Tier 1,Supermarket Type1,3615.294,24
16.2,Low Fat,Health and Hygiene,182.1608,Medium,Tier 1,Supermarket Type1,3123.9336,24
7.93,Low Fat,Frozen Foods,122.1414,Medium,Tier 1,Supermarket Type1,2924.1936,24
20.7,Regular,Frozen Foods,118.0466,Small,Tier 1,Supermarket Type1,1060.6194,26
18.7,Low Fat,Health and Hygiene,151.5682,Small,Tier 2,Supermarket Type1,1982.0866,19
11.8,Regular,Snack Foods,34.7558,Small,Tier 2,Supermarket Type1,780.9834,19
5.365,Regular,Seafood,173.5764,Medium,Tier 3,Supermarket Type2,2061.3168,14
14.0,Regular,Canned,52.564,Small,Tier 2,Supermarket Type1,639.168,19
12.3,Regular,Starchy Foods,89.8804,Small,Tier 1,Supermarket Type1,1286.3256,26
18.5,Low Fat,Others,132.5284,Small,Tier 2,Supermarket Type1,1318.284,19
19.75,Regular,Frozen Foods,179.566,Medium,Tier 3,Supermarket Type2,2696.49,14
20.5,Low Fat,Fruits and Vegetables,121.2756,Medium,Tier 3,Supermarket Type2,2181.1608,14
17.7,Low Fat,Snack Foods,166.4816,Medium,Tier 3,Supermarket Type2,2013.3792,14
11.8,Regular,Snack Foods,126.0704,Medium,Tier 1,Supermarket Type1,1251.704,24
14.3,Regular,Fruits and Vegetables,88.4856,High,Tier 3,Supermarket Type1,1406.1696,36
12.3,Low Fat,Frozen Foods,193.3162,Small,Tier 1,Supermarket Type1,3078.6592,26
12.65,Low Fat,Baking Goods,230.601,Small,Tier 2,Supermarket Type1,2067.309,19
10.1,Low Fat,Household,115.1492,High,Tier 3,Supermarket Type1,1737.738,36
7.39,Low Fat,Household,251.3066,Medium,Tier 3,Supermarket Type2,1004.0264,14
5.305,Regular,Meat,181.8608,Medium,Tier 1,Supermarket Type1,4594.02,24
15.25,Low Fat,Snack Foods,86.6198,Medium,Tier 1,Supermarket Type1,1657.1762,24
17.75,Regular,Baking Goods,184.724,High,Tier 3,Supermarket Type1,1677.816,36
6.155,Regular,Meat,213.356,Medium,Tier 1,Supermarket Type1,3835.008,24
12.15,Low Fat,Breads,163.5184,High,Tier 3,Supermarket Type1,3137.2496,36
15.2,Regular,Fruits and Vegetables,175.6054,Small,Tier 1,Supermarket Type1,2451.4756,26
13.65,Regular,Canned,211.4902,Medium,Tier 1,Supermarket Type1,4035.4138,24
20.2,Regular,Snack Foods,97.3752,High,Tier 3,Supermarket Type1,958.752,36
8.52,Low Fat,Soft Drinks,151.7682,Medium,Tier 1,Supermarket Type1,2439.4912,24
17.25,Low Fat,Soft Drinks,166.4526,High,Tier 3,Supermarket Type1,3782.4098,36
17.6,Low Fat,Meat,156.2314,Small,Tier 1,Supermarket Type1,2947.4966,26
9.3,Low Fat,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,3735.138,24
19.85,Low Fat,Household,46.3376,Small,Tier 2,Supermarket Type1,1150.5024,19
10.8,Low Fat,Dairy,193.7504,Small,Tier 1,Supermarket Type1,4602.0096,26
14.3,Regular,Baking Goods,96.5726,High,Tier 3,Supermarket Type1,2251.0698,36
18.7,Low Fat,Fruits and Vegetables,109.1886,Small,Tier 2,Supermarket Type1,1890.2062,19
10.895,Low Fat,Health and Hygiene,255.3672,Small,Tier 1,Supermarket Type1,767.0016,26
9.195,Regular,Frozen Foods,52.0666,Small,Tier 2,Supermarket Type1,615.1992,19
19.75,Low Fat,Fruits and Vegetables,188.0872,Medium,Tier 3,Supermarket Type2,2458.1336,14
18.0,Low Fat,Frozen Foods,118.3124,High,Tier 3,Supermarket Type1,948.0992,36
15.5,Regular,Fruits and Vegetables,178.4028,Medium,Tier 3,Supermarket Type2,1239.7196,14
12.5,Regular,Fruits and Vegetables,82.7592,Small,Tier 2,Supermarket Type1,577.9144,19
7.09,Low Fat,Baking Goods,47.9034,Small,Tier 2,Supermarket Type1,583.2408,19
6.385,Low Fat,Hard Drinks,109.8596,High,Tier 3,Supermarket Type1,3235.788,36
8.365,Low Fat,Hard Drinks,38.0506,Medium,Tier 1,Supermarket Type1,796.9626,24
16.2,Low Fat,Soft Drinks,154.6972,High,Tier 3,Supermarket Type1,1713.7692,36
11.1,Regular,Fruits and Vegetables,163.1526,Small,Tier 2,Supermarket Type1,1808.9786,19
19.25,Regular,Frozen Foods,85.2908,High,Tier 3,Supermarket Type1,671.1264,36
19.75,Low Fat,Fruits and Vegetables,115.8466,High,Tier 3,Supermarket Type1,2474.7786,36
6.885,Regular,Canned,108.7228,Small,Tier 1,Supermarket Type1,2542.0244,26
20.2,Regular,Snack Foods,96.9752,Medium,Tier 3,Supermarket Type2,1725.7536,14
17.6,Low Fat,Snack Foods,161.5552,High,Tier 3,Supermarket Type1,1787.0072,36
20.7,Regular,Dairy,94.3436,Medium,Tier 3,Supermarket Type2,945.436,14
7.76,Low Fat,Snack Foods,99.77,Small,Tier 2,Supermarket Type1,798.96,19
7.865,Low Fat,Breakfast,166.0526,High,Tier 3,Supermarket Type1,3617.9572,36
19.6,Low Fat,Health and Hygiene,44.477,Medium,Tier 3,Supermarket Type2,432.77,14
5.405,Regular,Canned,197.7742,Small,Tier 2,Supermarket Type1,796.2968,19
9.395,Low Fat,Soft Drinks,226.072,High,Tier 3,Supermarket Type1,3621.952,36
11.8,Regular,Meat,102.2674,Medium,Tier 1,Supermarket Type1,2444.8176,24
6.215,Regular,Baking Goods,226.1062,Small,Tier 1,Supermarket Type1,4739.8302,26
8.71,Regular,Canned,183.3924,Small,Tier 2,Supermarket Type1,2776.386,19
19.0,Regular,Fruits and Vegetables,188.7214,Medium,Tier 3,Supermarket Type2,1695.7926,14
9.17,Low Fat,Baking Goods,141.747,Medium,Tier 1,Supermarket Type1,3006.087,24
7.51,Low Fat,Fruits and Vegetables,229.601,Small,Tier 1,Supermarket Type1,6201.927,26
18.5,Low Fat,Meat,89.4172,High,Tier 3,Supermarket Type1,1605.9096,36
10.695,Regular,Snack Foods,74.0038,High,Tier 3,Supermarket Type1,1034.6532,36
7.075,Low Fat,Dairy,142.7128,Medium,Tier 3,Supermarket Type2,1869.5664,14
10.895,Low Fat,Dairy,263.7568,Medium,Tier 1,Supermarket Type1,7646.0472,24
9.695,Regular,Frozen Foods,246.0144,Small,Tier 2,Supermarket Type1,4165.2448,19
13.3,Regular,Fruits and Vegetables,61.0536,Small,Tier 2,Supermarket Type1,1898.8616,19
10.1,Low Fat,Health and Hygiene,198.6084,Medium,Tier 3,Supermarket Type2,2182.4924,14
18.35,Regular,Fruits and Vegetables,86.2882,Medium,Tier 3,Supermarket Type2,1631.8758,14
10.8,Low Fat,Hard Drinks,74.738,Small,Tier 1,Supermarket Type1,1025.332,26
20.7,Regular,Dairy,213.4876,Medium,Tier 1,Supermarket Type1,1929.4884,24
12.15,Low Fat,Frozen Foods,251.6698,High,Tier 3,Supermarket Type1,6088.0752,36
13.35,Regular,Snack Foods,179.766,Medium,Tier 3,Supermarket Type2,5932.278,14
8.43,Low Fat,Soft Drinks,197.9768,Small,Tier 1,Supermarket Type1,1182.4608,26
9.0,Low Fat,Snack Foods,176.437,Small,Tier 2,Supermarket Type1,7763.228,19
9.3,Low Fat,Hard Drinks,191.6846,Small,Tier 1,Supermarket Type1,3057.3536,26
17.6,Low Fat,Dairy,171.6422,High,Tier 3,Supermarket Type1,3793.7284,36
6.59,Low Fat,Household,119.0098,Medium,Tier 1,Supermarket Type1,2530.7058,24
16.35,Low Fat,Household,256.4646,Medium,Tier 3,Supermarket Type2,515.3292,14
15.25,Regular,Snack Foods,179.766,Medium,Tier 3,Supermarket Type2,3056.022,14
12.35,Regular,Meat,157.2946,Medium,Tier 1,Supermarket Type1,1577.946,24
7.975,Low Fat,Baking Goods,82.325,Small,Tier 2,Supermarket Type1,1331.6,19
20.85,Regular,Baking Goods,88.1514,Small,Tier 2,Supermarket Type1,1151.1682,19
19.7,Regular,Canned,254.7014,Small,Tier 2,Supermarket Type1,3570.0196,19
8.185,Low Fat,Fruits and Vegetables,115.8808,Small,Tier 2,Supermarket Type1,1523.3504,19
14.1,Low Fat,Canned,142.7496,Medium,Tier 1,Supermarket Type1,3528.74,24
5.78,Regular,Snack Foods,262.2568,Small,Tier 1,Supermarket Type1,5273.136,26
17.2,Regular,Canned,145.9418,Small,Tier 2,Supermarket Type1,1765.7016,19
8.05,Regular,Fruits and Vegetables,258.5646,Medium,Tier 3,Supermarket Type2,3091.9752,14
