iter	RMSE
0	1671.834728
1	1628.700744
2	1586.566259
3	1547.695801
4	1511.49547
5	1479.215466
6	1449.287048
7	1421.151565
8	1395.290348
9	1371.514525
10	1348.127832
11	1327.416045
12	1308.541641
13	1291.438433
14	1275.099353
15	1259.899813
16	1245.146294
17	1232.640237
18	1220.613923
19	1208.711911
20	1198.823813
21	1189.345891
22	1180.89757
23	1172.210541
24	1164.72184
25	1157.865842
26	1152.547404
27	1146.958335
28	1141.994915
29	1137.08026
30	1132.510136
31	1128.055905
32	1124.734355
33	1120.939875
34	1118.179967
35	1115.0183
36	1112.526965
37	1110.0013
38	1107.564469
39	1106.011258
40	1104.134346
41	1102.142553
42	1100.35438
43	1099.051414
44	1097.970322
45	1096.461769
46	1095.072226
47	1093.893775
48	1093.221646
49	1091.863142
50	1090.954318
51	1090.027201
52	1088.910112
53	1088.244171
54	1087.407868
55	1086.684877
56	1086.228816
57	1085.740208
58	1085.064306
59	1084.496844
60	1083.936177
61	1083.584287
62	1082.880333
63	1082.574648
64	1081.739805
65	1081.033841
66	1080.663715
67	1080.116897
68	1079.751991
69	1079.267031
70	1078.957612
71	1078.551827
72	1078.179926
73	1077.789439
74	1077.378742
75	1076.90249
76	1076.640577
77	1076.353012
78	1076.05352
79	1075.727085
80	1075.407214
81	1074.856905
82	1074.525364
83	1074.273738
84	1073.902223
85	1073.450319
86	1073.029027
87	1072.659732
88	1072.244391
89	1072.07607
90	1071.918875
91	1071.50028
92	1071.015915
93	1070.706077
94	1070.545686
95	1070.399882
96	1070.062772
97	1069.557275
98	1069.277622
99	1069.13372
