iter	Passed	Remaining
0	2	205
1	3	180
2	5	169
3	6	165
4	8	163
5	10	160
6	11	155
7	13	160
8	15	158
9	17	158
10	19	161
11	21	160
12	23	157
13	25	154
14	27	153
15	29	152
16	30	150
17	32	148
18	34	145
19	35	142
20	37	140
21	38	137
22	40	135
23	43	136
24	44	134
25	46	132
26	47	128
27	49	127
28	51	126
29	53	124
30	54	121
31	57	121
32	59	120
33	61	119
34	63	117
35	65	116
36	67	115
37	69	113
38	71	112
39	73	110
40	77	111
41	80	111
42	82	109
43	84	108
44	88	108
45	90	105
46	92	104
47	94	102
48	96	99
49	97	97
50	99	95
51	102	94
52	104	92
53	106	90
54	107	88
55	109	85
56	110	83
57	112	81
58	113	79
59	115	76
60	116	74
61	119	72
62	120	70
63	122	68
64	123	66
65	125	64
66	127	62
67	128	60
68	130	58
69	131	56
70	133	54
71	134	52
72	135	50
73	137	48
74	138	46
75	140	44
76	141	42
77	143	40
78	144	38
79	146	36
80	147	34
81	149	32
82	150	30
83	152	29
84	153	27
85	155	25
86	156	23
87	158	21
88	159	19
89	161	17
90	162	16
91	164	14
92	166	12
93	167	10
94	169	8
95	170	7
96	171	5
97	173	3
98	175	1
99	176	0
