iter	RMSE
0	0.989206258
1	0.9702309128
2	0.9520450113
3	0.9342974566
4	0.9188391388
5	0.9044436975
6	0.8913614349
7	0.879296532
8	0.8678760736
9	0.8580302981
10	0.8481812822
11	0.8399320948
12	0.8315353412
13	0.8237271438
14	0.8165355426
15	0.8099739703
16	0.8037527378
17	0.7976153011
18	0.7924643963
19	0.7874047411
20	0.7828231374
21	0.7789008981
22	0.7747805905
23	0.7712871877
24	0.7675260479
25	0.7642432334
26	0.761160308
27	0.7582093179
28	0.7551784724
29	0.753689733
30	0.751142346
31	0.7490882351
32	0.7468364803
33	0.7450996183
34	0.7432404965
35	0.741180338
36	0.739766539
37	0.7383215703
38	0.7369511872
39	0.7360482471
40	0.7348169232
41	0.7331507999
42	0.7321805003
43	0.7311549946
44	0.7298720009
45	0.7288439587
46	0.727829072
47	0.7267437847
48	0.7262085225
49	0.7252074815
50	0.7246481781
51	0.7240445149
52	0.7232190503
53	0.72257197
54	0.7218037033
55	0.721090215
56	0.7205333602
57	0.7200273422
58	0.7191567043
59	0.7185816854
60	0.7183809339
61	0.7179216293
62	0.7174698677
63	0.7167891162
64	0.7161488051
65	0.7152941141
66	0.7152115812
67	0.7148802675
68	0.7145750097
69	0.7139600684
70	0.7131657033
71	0.7126739229
72	0.7123293351
73	0.7117196339
74	0.7115069651
75	0.7109110629
76	0.7107083081
77	0.7103594717
78	0.7100500394
79	0.7098109839
80	0.7095578969
81	0.7093105541
82	0.7089657378
83	0.7088154674
84	0.7083303993
85	0.7082781124
86	0.7080145899
87	0.7076395005
88	0.7071563216
89	0.7069411374
90	0.7067069449
91	0.7063396071
92	0.7060090266
93	0.7057311146
94	0.705347152
95	0.7050992561
96	0.7050564238
97	0.7046812608
98	0.7045610483
99	0.7042365981
100	0.7040497192
101	0.7036160309
102	0.7030748424
103	0.7026995622
104	0.7024494333
105	0.7020634017
106	0.7015377952
107	0.7013496781
108	0.701023689
109	0.7007189085
110	0.7006312946
111	0.700387735
112	0.7001019675
113	0.6995883375
114	0.6993508936
115	0.6990122665
116	0.6987447377
117	0.6984626785
118	0.6983454401
119	0.6980652519
120	0.6975296494
121	0.6974752122
122	0.6972947206
123	0.6968707405
124	0.6965302507
125	0.696330155
126	0.6959513647
127	0.6956922788
128	0.695343522
129	0.6949819669
130	0.6946629136
131	0.6943482787
132	0.694095389
133	0.6935595699
134	0.693123597
135	0.6928523933
136	0.6925657472
137	0.6920850364
138	0.6920626234
139	0.6917675371
140	0.6915065189
141	0.6911609348
142	0.6909174684
143	0.6904495708
144	0.6901295211
145	0.6899480591
146	0.6897337452
147	0.6896103685
148	0.6893530747
149	0.6888743553
150	0.6884942323
151	0.6883065789
152	0.6879581585
153	0.6874834694
154	0.687146864
155	0.6869601826
156	0.6865260812
157	0.6861450722
158	0.6857084195
159	0.6854840475
160	0.6850590745
161	0.6846339051
162	0.6844771496
163	0.6843809964
164	0.6840147636
165	0.6835495598
166	0.6833149392
167	0.6829552314
168	0.6827325207
169	0.682721196
170	0.682523871
171	0.6824375093
172	0.6822110738
173	0.6819468278
174	0.6818706648
175	0.6816243653
176	0.681249004
177	0.6808281626
178	0.6804771382
179	0.6801681795
180	0.6800766912
181	0.6798673916
182	0.6797320699
183	0.6794007902
184	0.6791921881
185	0.6790011693
186	0.678567977
187	0.6781274081
188	0.6778833439
189	0.6775608608
190	0.6770241943
191	0.6766963761
192	0.6763533185
193	0.6759844122
194	0.6757531413
195	0.6755014609
196	0.6751335498
197	0.6749456969
198	0.674647921
199	0.6744953349
200	0.6743178761
201	0.6739993647
202	0.6736001335
203	0.6734290951
204	0.6733088574
205	0.6729401185
206	0.6726444008
207	0.6723968502
208	0.6720275084
209	0.6717960081
210	0.6715336662
211	0.6712042896
212	0.6707964367
213	0.6705199895
214	0.67011772
215	0.6698964504
216	0.6695694173
217	0.6693785769
218	0.6689937997
219	0.6685641167
220	0.668446762
221	0.6681262028
222	0.6678468879
223	0.6675925863
224	0.6674060094
225	0.6672091035
226	0.6670717224
227	0.6667657212
228	0.6664268532
229	0.6661779902
230	0.6659564859
231	0.6656711805
232	0.6655555466
233	0.6652662037
234	0.6649913373
235	0.6647996134
236	0.664601827
237	0.6643764024
238	0.6643064562
239	0.664119444
240	0.6638545217
241	0.6636301168
242	0.6633165394
243	0.6631267123
244	0.6628860182
245	0.6626634537
246	0.6623453602
247	0.6621502447
248	0.662055105
249	0.661778322
250	0.6614834244
251	0.6613495964
252	0.6612539838
253	0.6609752025
254	0.6607193559
255	0.6605478181
256	0.6603857742
257	0.6601435328
258	0.6598029077
259	0.6595518295
260	0.6593048018
261	0.6590438556
262	0.6587222519
263	0.6584022317
264	0.6581279356
265	0.6578700631
266	0.657702957
267	0.6574405264
268	0.6572833555
269	0.6570259704
270	0.6567806451
271	0.6566332165
272	0.6563708826
273	0.6561446428
274	0.6558367071
275	0.6556001771
276	0.6553595882
277	0.6552035493
278	0.6550599577
279	0.6548931925
280	0.6547075521
281	0.6544131601
282	0.6539365545
283	0.6535426404
284	0.6534118163
285	0.6533262377
286	0.6531695116
287	0.6529385803
288	0.6527489959
289	0.6526890662
290	0.6525344907
291	0.6522917528
292	0.651934741
293	0.6516301229
294	0.6513510733
295	0.6511228458
296	0.6509292025
297	0.6506810015
298	0.6505235925
299	0.6503768193
300	0.6501768293
301	0.6500240788
302	0.6499673296
303	0.6497807533
304	0.6496345681
