iter	Passed	Remaining
0	2	2219
1	4	2295
2	6	2174
3	8	2038
4	10	2099
5	12	2049
6	14	1990
7	15	1962
8	17	1924
9	19	1930
10	21	1909
11	22	1826
12	24	1824
13	26	1836
14	27	1810
15	29	1792
16	31	1793
17	32	1781
18	34	1771
19	36	1765
20	37	1764
21	40	1784
22	41	1783
23	43	1783
24	45	1774
25	46	1750
26	48	1738
27	50	1742
28	52	1741
29	54	1752
30	55	1748
31	57	1743
32	59	1734
33	60	1711
34	61	1705
35	64	1717
36	66	1720
37	67	1719
38	69	1724
39	72	1734
40	75	1754
41	76	1751
42	78	1745
43	80	1757
44	82	1753
45	85	1764
46	86	1759
47	88	1754
48	89	1743
49	91	1736
50	92	1716
51	93	1711
52	95	1710
53	97	1707
54	99	1704
55	101	1704
56	102	1700
57	104	1697
58	106	1692
59	107	1691
60	108	1676
61	110	1676
62	112	1672
63	114	1677
64	116	1675
65	118	1671
66	119	1667
67	120	1658
68	122	1655
69	123	1643
70	125	1644
71	127	1648
72	129	1646
73	131	1642
74	133	1640
75	134	1637
76	136	1635
77	138	1631
78	139	1630
79	141	1629
80	143	1631
81	145	1628
82	147	1624
83	148	1620
84	150	1618
85	151	1615
86	153	1608
87	154	1605
88	157	1611
89	159	1607
90	160	1605
91	162	1601
92	163	1596
93	165	1593
94	166	1586
95	168	1584
96	170	1584
97	172	1586
98	174	1583
99	175	1581
100	177	1577
101	178	1575
102	179	1566
103	181	1563
104	183	1561
105	185	1560
106	187	1563
107	189	1562
108	190	1559
109	192	1557
110	193	1552
111	195	1550
112	197	1550
113	199	1550
114	202	1556
115	204	1560
116	206	1560
117	208	1558
118	210	1557
119	213	1563
120	215	1562
121	217	1566
122	219	1564
123	220	1555
124	222	1554
125	224	1554
126	226	1554
127	227	1552
128	229	1552
129	232	1554
130	234	1553
131	236	1552
132	237	1551
133	239	1549
134	241	1546
135	243	1544
136	245	1543
137	247	1543
138	248	1542
139	249	1534
140	251	1532
141	253	1530
142	255	1528
143	256	1526
144	258	1524
145	260	1524
146	262	1523
147	264	1521
148	265	1518
149	267	1516
150	269	1514
151	270	1511
152	272	1509
153	274	1509
154	277	1510
155	279	1514
156	281	1512
157	283	1511
158	284	1504
159	286	1502
160	287	1500
161	290	1501
162	292	1502
163	294	1500
164	296	1497
165	297	1494
166	299	1492
167	300	1489
168	302	1487
169	304	1488
170	306	1488
171	309	1487
172	310	1485
173	312	1483
174	314	1480
175	315	1479
176	317	1477
177	320	1480
178	322	1480
179	324	1478
180	326	1475
181	327	1473
182	329	1472
183	331	1470
184	333	1470
185	335	1467
186	337	1465
187	338	1463
188	340	1460
189	342	1458
190	343	1455
191	345	1452
192	346	1450
193	348	1449
194	350	1447
195	352	1445
196	354	1443
197	355	1441
198	357	1439
199	359	1437
200	361	1435
201	363	1436
202	365	1433
203	367	1432
204	368	1429
205	370	1427
206	372	1425
207	373	1423
208	375	1421
209	377	1421
210	379	1419
211	381	1417
212	383	1416
213	384	1414
214	389	1420
215	391	1419
216	393	1419
217	394	1416
218	396	1414
219	398	1412
220	399	1409
221	401	1407
222	403	1404
223	404	1402
224	407	1402
225	409	1400
226	410	1398
227	412	1397
228	414	1394
229	416	1393
230	417	1391
231	419	1389
232	421	1386
233	423	1385
234	424	1382
235	426	1380
236	428	1378
237	429	1376
238	431	1373
239	433	1371
240	434	1369
241	436	1367
242	438	1366
243	440	1364
244	441	1361
245	443	1360
246	445	1357
247	447	1355
248	448	1353
249	450	1350
250	452	1349
251	453	1347
252	455	1344
253	457	1342
254	459	1341
255	463	1346
256	465	1344
257	467	1343
258	468	1341
259	470	1339
260	472	1337
261	473	1334
262	475	1332
263	477	1330
264	478	1328
265	481	1327
266	482	1325
267	484	1323
268	486	1321
269	488	1319
270	489	1317
271	491	1314
272	493	1312
273	494	1310
274	496	1309
275	498	1307
276	500	1305
277	501	1302
278	503	1301
279	505	1299
280	507	1298
281	510	1298
282	512	1297
283	513	1295
284	516	1295
285	518	1295
286	521	1295
287	524	1297
288	526	1295
289	528	1294
290	530	1292
291	532	1290
292	533	1288
293	535	1286
294	537	1284
295	539	1281
296	540	1280
297	542	1278
298	544	1275
299	545	1273
300	547	1271
301	549	1269
302	550	1267
303	553	1266
304	555	1264
305	556	1262
306	558	1260
307	559	1258
308	561	1255
309	563	1254
310	565	1252
311	567	1250
312	569	1249
313	571	1248
314	573	1246
315	574	1243
316	576	1241
317	578	1239
318	579	1237
319	581	1235
320	584	1235
321	585	1233
322	587	1231
323	589	1229
324	590	1226
325	592	1224
326	594	1223
327	596	1221
328	598	1221
329	600	1219
330	602	1217
331	604	1215
332	605	1213
333	607	1211
334	609	1209
335	611	1207
336	613	1206
337	614	1204
338	616	1202
339	618	1199
340	619	1197
341	621	1195
342	623	1193
343	624	1191
344	626	1189
345	628	1188
346	630	1186
347	632	1184
348	633	1182
349	635	1180
350	637	1178
351	639	1176
352	641	1175
353	644	1175
354	645	1173
355	647	1171
356	649	1169
357	650	1166
358	652	1164
359	654	1163
360	656	1161
361	658	1160
362	659	1158
363	661	1155
